date,hour,trading_MW,net_aFRR,restore_MW,imbalance_MWh,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,is_feasible,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2024-08-20,4,0,-8.887879433172024,-19.059994506137,0,44.22002622088782,15,10,5481,5446.84,6600,9.81,9.32,5755.05,1,-0,58660.00425893536,103816.74047580725,0
2024-08-20,5,0,3.5222304597396175,-3.0141127694329084,0,15,15,10,5481,5460.46,6600,9.82,5206.95,6930,1,-0,-34.58830311464305,16458.442212977618,0
2024-08-20,6,0,8.126157293998338,0,0,15,22.27040792168196,14.846938614454642,5600,5596.89,6600,5600,5320,6930,1,-0,-45506.48084639069,-0,0
2024-08-20,7,0,3.3323508750620903,0,0,22.27040792168196,25.251835590793014,16.834557060528677,6900,6856.55,8250,6900,6555,8662.5,1,-0,-22993.221037928422,-0,0
2024-08-20,8,0,19.67372018601234,0,0,25.251835590793014,42.853755651456765,28.56917043430451,6900,6865.45,8250,6900,6555,8662.5,1,-0,-135748.66928348513,-0,0
2024-08-20,9,0,7.800259553412328,0,0,42.853755651456765,49.83258547181835,33.221723647878896,4500,4497.16,8250,4500,4275,8662.5,1,-0,-35101.167990355476,-0,0
2024-08-20,10,0,25.632917728943372,0,0,49.83258547181835,72.76615190056215,48.5107679337081,4500,4498.49,8250,1549.17,4275,8662.5,1,-0,-39709.747158147205,-0,0
2024-08-20,11,35,0.4836826906537202,0,0,72.76615190056215,104.51311893442852,69.67541262295234,100,157.81,8250,30.74,95,8662.5,1,-3500,-14.868405910695358,-0,0
2024-08-20,12,35,-10.413298479986416,-0.9515778467366404,0,104.51311893442852,123.94514764556209,82.63009843037472,70,200.05,8250,9.82,9.33,73.5,1,-2450,85909.71245988793,190.36314823966492,0
2024-08-20,13,0,12.356042475441727,0,0,123.94514764556209,135,90,100,222.03,8250,10.43,95,8662.5,1,-0,-128.8735230188572,-0,0
