date,hour,net_aFRR,max_aFRR,min_aFRR,trading_MW,restore_MW,imbalance_MWh,is_feasible,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2025-09-14,10,-2.961971304372512,0.1938799540096134,-10.442702228998693,0,0,0,1,77.00257108991448,73.90577455479236,49.270516369861575,460,455.78,7554.05,0.01,0.01,483,-0,22374.879331795175,-0,0
2025-09-14,11,16.145621198070817,16.145621198070817,-0.6035991814994918,0,0,0,1,73.90577455479236,88.35113267573674,58.90075511715782,100,99.92,7915.2,0.01,0.01,105,-0,-0.16145621198070817,-0,0
2025-09-14,12,4.858456075214588,4.858456075214588,0.621854348132651,35,0,0,1,88.35113267573674,124.01217445858263,82.67478297238841,10,10.13,8077.86,0.01,0.01,10.5,-350,-0.04858456075214588,-0,0
2025-09-14,13,23.071927621771728,23.071927621771728,0.03703840375985057,35,-12.006087229291317,14.99518741228975,0,124.01217445858263,150,100,10,10,7673.89,0.01,0.01,10.5,-350,-0.2307192762177173,120.06087229291317,157.4494678290424
2025-09-14,14,-6.454812344387336,1.485152545606134,-6.454812344387336,0,-25,0,1,150,117.11340392217227,78.07560261478152,10,10,7964.86,0.01,0.01,10.5,-0,51411.67664931691,250,0
2025-09-14,15,2.4977084322916125,7.542268590717223,-0.27802595786189715,0,-8.556701961086134,0,1,117.11340392217227,110.40189133802028,73.60126089201353,42,41.46,7893.54,0.01,0.01,44.1,-0,-0.024977084322916124,354.7608633066311,0
2025-09-14,16,9.70051220060168,11.148061496892256,0.04034041154851368,0,-5.200945669010139,0,1,110.40189133802028,113.64317578610519,75.76211719073679,100,97.89,7553.48,0.01,0.01,105,-0,-0.09700512200601681,509.1205715394025,0
2025-09-14,17,-5.645873336484467,2.4188899109716204,-5.645873336484467,0,-6.821587893052595,0,1,113.64317578610519,100.60821130808873,67.07214087205915,2459,2404.47,15999.91,11.04,0.01,2581.95,-0,90333.46525515118,16402.303441208172,0
2025-09-14,18,0.9072782266870395,7.853889932068656,0.17709067364979164,0,-0.3041056540443634,0,1,100.60821130808873,101.10199771605303,67.40133181070202,5000,5000.84,15999.91,61.98,4750,16799.91,-0,-56.23310449006271,1520.7837189712143,0
2025-09-14,19,6.543166074186099,6.626964156832674,-0.2142712819997977,-35,-0.5509988580265173,0,1,101.10199771605303,69.78688017674034,46.524586784493565,6107.02,6145,15999.92,538.88,5801.67,16799.92,213745.7,-3525.981334057405,3385.8879825729487,0
2025-09-14,20,32.52538866652642,32.52538866652642,0.07669037965780245,-35,0,0,1,69.78688017674034,62.2939289702047,41.52928598013647,7041.53,7028.23,15999.92,1796.3,6689.45,16799.92,246453.55,-58425.3556616814,-0,0
2025-09-14,21,20.97453061499596,20.97453061499596,0.595792451201389,0,0,0,1,62.2939289702047,81.05967371519667,54.039782476797775,6500,6484.9,15999.91,160.52,6175,16799.91,-0,-3366.8316543191518,-0,0
2025-09-14,22,29.101061742321168,29.101061742321168,0.4701577584181733,0,0,0,1,81.05967371519667,107.09616084755748,71.39744056503832,5284,5059.61,15999.91,4.85,5019.8,16799.91,-0,-141.14014945025767,-0,0
2025-09-14,23,15.840628647869838,15.840628647869838,0.6530857903272775,0,-3.5480804237787424,0,1,107.09616084755748,117.55905996488119,78.37270664325412,4800,4569.52,8246.64,74.02,0.01,5040,-0,-1172.5233325153254,16213.02445806544,0
2025-09-15,0,24.24321952068808,24.24321952068808,0.6477017771203643,0,-8.779529982440593,0,1,117.55905996488119,130.07011131311955,86.71340754207971,4080,3950.69,6483.41,0.01,0.01,4284,-0,-0.2424321952068808,34685.20130632823,0
2025-09-15,1,-11.32931732732288,5.376085341787957,-11.32931732732288,0,-15.035055656559777,0,1,130.07011131311955,102.50566503147284,68.3371100209819,3950,3840.01,6257.95,0.01,0.01,4147.5,-0,70898.30136852022,57734.76407174611,0
2025-09-15,2,13.99626703366929,13.99626703366929,-6.005744885818304,0,-1.2528325157364222,0,1,102.50566503147284,113.7181532907858,75.81210219385721,2346,2306.95,5622.28,0.01,0.01,2463.3,-0,-0.1399626703366929,2890.221972178139,0
2025-09-15,3,27.899673367425283,27.899673367425283,0.6410695060661485,0,-6.8590766453929035,0,1,113.7181532907858,131.50847461608868,87.67231641072578,2000,1955.94,5622.78,0.01,0.01,2100,-0,-0.2789967336742528,13415.942373789796,0
2025-09-15,4,10.712304071824638,10.712304071824638,0.1797404960722145,0,-15.754237308044338,0,1,131.50847461608868,124.62133687619317,83.08089125079545,2000,1958.57,5823.08,0.01,0.01,2100,-0,-0.10712304071824638,30855.7765644164,0
2025-09-15,5,25.21463887164888,25.21463887164888,0.49768621130079055,0,-12.310668438096585,0,1,124.62133687619317,134.30963788281613,89.53975858854409,3464,3005.76,6062.99,0.01,0.01,3637.2,-0,-0.2521463887164888,37002.914764493195,0
2025-09-15,6,3.7508197247102015,6.084213636733245,0.4718004022777553,0,-17.154818941408067,0,1,134.30963788281613,119.72978143111011,79.81985428740674,4800,4540.36,6542.64,46.16,4.58,5040,-0,-173.13783849262288,77889.05372881153,0
2025-09-15,7,5.850432860539883,5.850432860539883,-0.04401460121911738,0,-9.864890715555056,0,1,119.72978143111011,114.65018870002794,76.43345913335196,6882.49,6891.38,8249.92,4.86,6538.37,8662.42,-0,-28.433103702223836,67982.71057936181,0
2025-09-15,8,26.587496022582467,26.587496022582467,0.5438778118635155,0,-7.32509435001397,0,1,114.65018870002794,130.77928520439372,87.18619013626247,6850.25,6851.71,8249.93,351.93,6507.74,8662.43,-0,-9356.937475227447,50189.422208934215,0
2025-09-15,9,16.450470922072277,16.450470922072277,-1.4207830711664395,0,-15.389642602196858,0,1,130.77928520439372,129.40723004112513,86.27148669408342,4990,4967.34,8249.92,1.84,4740.5,8662.42,-0,-30.26886649661299,76445.58728359654,0
2025-09-15,10,11.748676117534925,11.748676117534925,-2.112697145288823,0,-14.703615020562566,0,1,129.40723004112513,124.54577138008123,83.0305142533875,2847,2834.15,8249.91,34.93,2704.65,8662.41,-0,-410.38125678549494,41672.250510527396,0
2025-09-15,11,-1.4860169667793544,0.2109771991057619,-2.7915205564145755,0,-12.272885690040617,0,1,124.54577138008123,110.16058067555846,73.44038711703898,878,822.21,7984.98,4.8,4.56,921.9,-0,11865.815759393809,10090.889343208297,0
2025-09-15,12,25.809815005767483,25.809815005767483,-0.283724174393259,35,-5.080290337779232,10.344450246642742,0,110.16058067555846,150,100,10,10,8081.9,1.5,1.43,10.5,-350,-38.71472250865122,50.80290337779232,108.61672758974879
2025-09-15,13,30.735914414877204,30.735914414877204,0.6288374938859744,35,-25,36.52142636171198,0,150,150,100,798,702.26,7672.32,0.01,0.01,837.9,-27930,-0.307359144148772,17556.5,30601.30314847847
2025-09-15,14,6.6044508464906375,6.6044508464906375,-9.678275611492959,0,-25,0,1,150,129.7709805914859,86.51398706099062,469,411.92,8001.6,0.01,0.01,492.45,-0,-0.06604450846490638,10298,0
2025-09-15,15,-15.782984705852279,8.288381544192724,-15.782984705852279,0,-14.885490295742954,0,1,129.7709805914859,97.70651494922349,65.13767663281565,994,912.54,7987.36,0.61,0.57,1043.7,-0,126064.38072013625,13583.605314477276,0
2025-09-15,16,-10.664378995670386,4.049223652707673,-10.90357997052049,0,0,0,1,97.70651494922349,86.55670675416484,57.70447116944323,3060,2888.54,8249.9,34.55,2907,8662.4,-0,87980.06027638112,-0,0
2025-09-15,17,7.429743076811406,12.071881118260768,0.2972482405873938,0,0,0,1,86.55670675416484,93.20403844704339,62.13602563136226,5564,5196.62,15999.9,11.71,5285.8,16799.9,-0,-87.00229142946158,-0,0
2025-09-15,18,-6.0626676477876424,5.912141892028035,-6.0626676477876424,0,0,0,1,93.20403844704339,86.86540574741188,57.910270498274585,7200,7186.05,15999.9,30.74,6840,16799.9,-0,97002.0760978375,-0,0
2025-09-15,19,0.3797407290340657,4.463217335781694,-1.146466961671001,-35,0,0,1,86.86540574741188,50.612000496385335,33.74133366425689,9150,8979.3,15999.91,556.68,8692.5,16799.91,320250,-211.39406903868368,-0,0
2025-09-15,20,13.366549548638046,13.366549548638046,-0.6451654120794927,-35,0,0,1,50.612000496385335,25.97778920178791,17.31852613452527,10500,10592.98,15999.91,1738.36,9975,16799.91,367500,-23235.875073370433,-0,0
2025-09-15,21,20.064132389601408,20.312676371268832,0.633824504660677,0,12.011105399106045,0,1,25.97778920178791,54.67524784944216,36.45016523296144,9100,9009.2,15999.9,4.82,8645,16799.9,-0,-96.70911811787879,-108210.45076162618,0
2025-09-15,22,15.522670366826055,16.096259354545712,-2.6542626237745934,0,0,0,1,54.67524784944216,68.56325684527849,45.70883789685232,6288,6390.42,15999.93,135.3,5973.6,16799.93,-0,-2100.2173006315656,-0,0
2025-09-15,23,-13.694486883339781,-0.15401580779822202,-17.79673054355142,0,0,0,1,68.56325684527849,54.24541403971279,36.16360935980853,6200,6107.05,8246.53,184.65,0.04,6510,-0,112931.99691806802,-0,0
