month,year,month_num,hours_provided,hours_not_provided,hours_in_month,service_fee,penalties,aFRR_total,balancing_total,IDM_total,trading_total,imbalance_total,grand_total,avg_rate,service_fee_eur,penalties_eur,aFRR_total_eur,balancing_total_eur,IDM_total_eur,trading_total_eur,imbalance_total_eur,grand_total_eur,service_fee_eur_per_mw,penalties_eur_per_mw,aFRR_total_eur_per_mw,balancing_total_eur_per_mw,IDM_total_eur_per_mw,trading_total_eur_per_mw,imbalance_total_eur_per_mw,grand_total_eur_per_mw
2024-12-01,2024,12,708,36,744,21240000,-2160000,19080000,-18561819.225633893,16038541.817888904,7602068.950000002,3434890.827292339,27593682.369547352,43.72796774193549,485730.3253915151,-49396.304277103234,436334.0211144119,-424483.9214842576,366779.9499062429,173849.12545820314,78551.34836276075,631030.5233573611,6476.404338553534,-658.6173903613765,5817.786948192158,-5659.785619790102,4890.399332083239,2317.9883394427084,1047.3513115034766,8413.740311431482
2025-01-01,2025,1,713,31,744,21390000,-1860000,19530000,10039346.501086328,843644.2711402188,8266114.85,-151196.57056254678,38527909.051663995,43.565400000000004,490985.96592708887,-42694.43181974686,448291.534107342,230443.11543303463,19365.006889417262,189740.36391264625,-3470.5654157323647,884369.4549267077,6546.4795456945185,-569.2590909299581,5977.220454764561,3072.5748724404616,258.2000918588968,2529.8715188352835,-46.2742055430982,11791.592732356103
2025-02-01,2025,2,614,58,672,18420000,-3480000,14940000,21063995.87034558,-15249237.857995803,9357923.75,-2717681.8356722076,27394999.92667757,43.35843214285714,424830.8596424769,-80261.20475330182,344569.6548891751,485810.8291587675,-351701.7821989663,215827.07878291263,-62679.430536556385,631826.3500953324,5664.411461899692,-1070.149396710691,4594.262065189001,6477.4777221169,-4689.357095986217,2877.6943837721683,-835.7257404874184,8424.351334604431
2025-03-01,2025,3,707,37,744,21210000,-2220000,18990000,20482419.98326991,1690625.1135186064,14555860.9,86690.01485110194,55805596.01163962,44.69091935483871,474593.05617760983,-49674.520731461285,424918.53544614854,458312.79103127844,37829.275788562656,325700.6369555481,1939.7679909602477,1248701.007212498,6327.907415701465,-662.3269430861504,5665.580472615314,6110.837213750379,504.3903438475021,4342.675159407308,25.863573212803303,16649.346762833306
2025-04-01,2025,4,669,51,720,20070000,-3060000,17010000,24850866.37993752,-3988602.9076607185,15355795.700000001,-569224.6075240163,52658834.56475279,46.43591333333333,432208.5764940268,-65897.27175245252,366311.30474157433,535164.8023276564,-85894.78748978453,330687.92229347775,-12258.283872612168,1134010.9580003119,5762.781019920358,-878.6302900327003,4884.150729887658,7135.5306977020855,-1145.263833197127,4409.17229724637,-163.44378496816225,15120.146106670825
2025-05-01,2025,5,708,36,744,21240000,-2160000,19080000,21958420.56078645,1061965.42933269,13767205.899999999,489550.5962061416,56357142.48632528,46.84799032258064,453381.24119621754,-46106.56690131026,407274.6742949073,468716.38270046626,22668.324127039978,293869.72216317744,10449.76727571981,1202978.8705613108,6045.083215949568,-614.7542253508035,5430.328990598764,6249.55176933955,302.24432169386637,3918.262962175699,139.3302303429308,16039.718274150811
2025-06-01,2025,6,659,61,720,19770000,-3660000,16110000,13844835.961845124,12750263.995854594,15961381.799999999,518329.43921555823,59184811.19691527,47.8332,413311.2566167432,-76515.89272722711,336795.3638895161,289439.8861427863,266556.784740611,333688.3545319987,10836.185729065968,1237316.5750339779,5510.81675488991,-1020.2119030296948,4490.604851860215,3859.1984819038175,3554.0904632081465,4449.17806042665,144.48247638754626,16497.55433378637
2025-07-01,2025,7,686,58,744,20580000,-3480000,17100000,24446051.921768453,-2718292.8209853587,12817244.65,-627446.2065712404,51017557.54421185,48.87247096774194,421095.9583685412,-71205.73056960755,349890.2277989337,500200.8582276096,-55620.12247712124,262258.98540018505,-12838.438371274158,1043891.5105783328,5614.612778247216,-949.4097409281006,4665.2030373191155,6669.344776368128,-741.6016330282831,3496.7864720024672,-171.17917828365543,13918.553474377772
2025-08-01,2025,8,705,39,744,21150000,-2340000,18810000,25692105.641399708,-431.69087029444927,20237959.000000004,-1092367.9504749982,63647265.00005443,48.15257741935484,439228.8249870254,-48595.5295730326,390633.29541399283,533556.1878162894,-8.965062587094911,420288.17738560744,-22685.55514612854,1321783.1404071741,5856.384333160338,-647.9403943071014,5208.443938853237,7114.082504217192,-0.11953416782793215,5603.842365141432,-302.4740686150472,17623.77520542899
2025-09-01,2025,9,654,66,720,19620000,-3960000,15660000,27401492.742984053,-4693168.212751825,19278173.95,-703458.7231477838,56943039.75708444,48.45376,404922.1360736504,-81727.40361119549,323194.73246245494,565518.3982209853,-96858.70018656601,397867.45032790024,-14518.14519962504,1175203.7356251492,5398.961814315338,-1089.6987148159399,4309.263099499399,7540.245309613138,-1291.4493358208802,5304.899337705337,-193.57526932833386,15669.383141668657
